Name,Location,Country,Latitude,Longitude,Altitude (m),N. races,Wikipedia,Circuit,Map,Type,Direction,Loc,Last length used,Grands Prix,Season(s),Grands Prix held,City,Ctry
Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,639,2,Link,Caesars Palace Grand Prix Circuit,,Street circuit,Anti-clockwise,"Las Vegas, United States",3.650 km (2.268 mi),Caesars Palace Grand Prix,1981–1982,2.0,Nevada, United States
Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,639,2,Link,Las Vegas Street Circuit,,Street circuit,Anti-clockwise,"Las Vegas, United States",6.120 km (3.803 mi),Las Vegas Grand Prix,,0.0,Nevada, United States
Fuji Speedway,Oyama,Japan,35.3717,138.927,583,4,Link,Fuji Speedway,,Race circuit,Clockwise,"Oyama, Japan",4.563 km (2.835 mi),Japanese Grand Prix,"1976–1977, 2007–2008",4.0,Oyama, Japan
Okayama International Circuit,Okayama,Japan,34.915,134.221,266,2,Link,,,,,,,,,,,
Suzuka Circuit,Suzuka,Japan,34.8431,136.541,0,32,Link,Suzuka International Racing Course ✔,,Race circuit,Part clockwise and part anti-clockwise (figure eight),"Suzuka, Japan",5.807 km (3.608 mi),Japanese Grand Prix,"1987–2006, 2009–2019",31.0,Suzuka, Japan
Korean International Circuit,Yeongam County,Korea,34.7333,126.417,0,4,Link,,,,,,,,,,,
Riverside International Raceway,California,USA,33.937,-117.273,470,1,Link,Long Beach Street Circuit,,Street circuit,Clockwise,"Long Beach, United States",3.275 km (2.035 mi),United States Grand Prix West,1976–1983,8.0,California, United States
Riverside International Raceway,California,USA,33.937,-117.273,470,1,Link,Riverside International Raceway,,Race circuit,Clockwise,"Moreno Valley, United States",5.271 km (3.275 mi),United States Grand Prix,1960,1.0,California, United States
Long Beach,California,USA,33.7651,-118.189,12,8,Link,Long Beach Street Circuit,,Street circuit,Clockwise,"Long Beach, United States",3.275 km (2.035 mi),United States Grand Prix West,1976–1983,8.0,California, United States
Long Beach,California,USA,33.7651,-118.189,12,8,Link,Riverside International Raceway,,Race circuit,Clockwise,"Moreno Valley, United States",5.271 km (3.275 mi),United States Grand Prix,1960,1.0,California, United States
Ain Diab,Casablanca,Morocco,33.5786,-7.6875,19,1,Link,Ain-Diab Circuit,,Road circuit,Clockwise,"Casablanca, Morocco",7.618 km (4.734 mi),Moroccan Grand Prix,1958,1.0,Casablanca, Morocco
Phoenix street circuit,Phoenix,USA,33.4479,-112.075,345,3,Link,Phoenix Street Circuit,,Street circuit,Anti-clockwise,"Phoenix, United States",3.720 km (2.312 mi),United States Grand Prix,1989–1991,3.0,Phoenix, United States
Fair Park,Dallas,USA,32.7774,-96.7587,139,1,Link,Dallas Fair Park,,Street circuit,Anti-clockwise,"Dallas, United States",3.901 km (2.424 mi),Dallas Grand Prix,1984,1.0,Dallas, United States
Shanghai International Circuit,Shanghai,China,31.3389,121.22,5,16,Link,Shanghai International Circuit *,,Race circuit,Clockwise,"Jiading, China",5.451 km (3.387 mi),Chinese Grand Prix,2004–2019,16.0,Shanghai, China
Circuit of the Americas,Austin,USA,30.1328,-97.6411,0,10,Link,Circuit of the Americas ✔,,Race circuit,Anti-clockwise,"Austin, United States",5.513 km (3.426 mi),United States Grand Prix,"2012–2019, 2021",9.0,Austin, United States
Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,194,3,Link,Buddh International Circuit,,Race circuit,Clockwise,"Greater Noida, India",5.141 km (3.194 mi),Indian Grand Prix,2011–2013,3.0,Uttar Pradesh, India
Sebring International Raceway,Florida,USA,27.4547,-81.3483,18,1,Link,Sebring Raceway,,Road circuit,Clockwise,"Sebring, United States",8.356 km (5.192 mi),United States Grand Prix,1959,1.0,Florida, United States
Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,0,19,Link,Bahrain International Circuit ✔,,Race circuit,Clockwise,"Sakhir, Bahrain",5.412 km (3.363 mi),"Bahrain Grand Prix,Sakhir Grand Prix","2004–2010, 2012–2022[a]",19.0,Sakhir, Bahrain
Miami International Autodrome,Miami,United States,25.9581,-80.2389,0,1,Link,Miami International Autodrome ✔,,Street circuit,Anti-clockwise,"Miami Gardens, United States",5.410 km (3.362 mi),Miami Grand Prix,2022,0.0,Miami, United States
Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,0,1,Link,Losail International Circuit,,Race circuit,Clockwise,"Lusail, Qatar",5.380 km (3.343 mi),Qatar Grand Prix,2021,1.0,Al Daayen, Qatar
Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,0,14,Link,Yas Marina Circuit ✔,,Race circuit,Anti-clockwise,"Abu Dhabi, United Arab Emirates",5.281 km (3.281 mi),Abu Dhabi Grand Prix,2009–2021,13.0,Abu Dhabi, United Arab Emirates
Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,0,2,Link,Jeddah Corniche Circuit ✔,,Street circuit,Anti-clockwise,"Jeddah, Saudi Arabia",6.174 km (3.836 mi),Saudi Arabian Grand Prix,2021–2022,2.0,Jeddah, Saudi Arabia
Hanoi Street Circuit,Hanoi,Vietnam,21.0166,105.766,9,0,Link,,,,,,,,,,,
Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,0,22,Link,Autódromo Hermanos Rodríguez ✔,,Race circuit,Clockwise,"Mexico City, Mexico",4.304 km (2.674 mi),"Mexican Grand Prix,Mexico City Grand Prix","1963–1970, 1986–1992, 2015–2019, 2021",21.0,Mexico City, Mexico
Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,19,Link,Sepang International Circuit,,Race circuit,Clockwise,"Sepang, Malaysia",5.543 km (3.444 mi),Malaysian Grand Prix,1999–2017,19.0,Kuala Lumpur, Malaysia
Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,0,13,Link,Marina Bay Street Circuit ✔,,Street circuit,Anti-clockwise,"Marina Bay, Singapore",5.063 km (3.146 mi),Singapore Grand Prix,2008–2019,12.0,Marina Bay, Singapore
Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,1126,10,Link,Autódromo Internacional do Rio de Janeiro,,Race circuit,Anti-clockwise,"Rio de Janeiro, Brazil",5.031 km (3.126 mi),Brazilian Grand Prix,"1978, 1981–1989",10.0,Rio de Janeiro, Brazil
Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,0,39,Link,Autodromo José Carlos Pace ✔,,Race circuit,Anti-clockwise,"São Paulo, Brazil",4.309 km (2.677 mi),"Brazilian Grand Prix,São Paulo Grand Prix","1973–1977, 1979–1980, 1990–2019, 2021",38.0,São Paulo, Brazil
Kyalami,Midrand,South Africa,-25.9894,28.0767,1460,20,Link,Kyalami Grand Prix Circuit,,Race circuit,Anti-clockwise,"Midrand, South Africa",4.261 km (2.648 mi),South African Grand Prix,"1967–1980, 1982–1985, 1992–1993",20.0,Midrand, South Africa
Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,15,3,Link,Prince George Circuit,,Race circuit,Clockwise,"East London, South Africa",3.920 km (2.436 mi),South African Grand Prix,"1962–1963, 1965",3.0,Eastern Cape Province, South Africa
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,8,20,Link,Autódromo Juan y Oscar Gálvez,,Race circuit,Clockwise,"Buenos Aires, Argentina",4.259 km (2.646 mi),Argentine Grand Prix,"1953–1958, 1960, 1972–1975, 1977–1981, 1995–1998",20.0,Buenos Aires, Argentina
Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,58,11,Link,Adelaide Street Circuit,,Street circuit,Clockwise,"Adelaide, Australia",3.780 km (2.349 mi),Australian Grand Prix,1985–1995,11.0,Adelaide, Australia
Albert Park Circuit,Melbourne,Australia,-37.8497,144.968,0,25,Link,Melbourne Grand Prix Circuit ✔,,Street circuit,Clockwise,"Melbourne, Australia",5.303 km (3.295 mi),Australian Grand Prix,"1996–2019, 2022",25.0,Melbourne, Australia
