Circuit,Date,Year,Pole position,Fastest lap,Winning driver,Winning constructor,Circuit Name,City,Name,Location,Country,Latitude,Longitude,Altitude (m),N. races,Wikipedia,Race date
"Sochi Autodrom, Sochi",30 September,2018,Valtteri Bottas,Valtteri Bottas,Lewis Hamilton,Mercedes,Sochi Autodrom, Sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,0.0,8.0,Link,
"Suzuka International Racing Course, Suzuka",7 October,2018,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton,Mercedes,Suzuka International Racing Course, Suzuka,,,,,,,,,
"Circuit of the Americas, Austin, Texas",21 October,2018,Lewis Hamilton,Lewis Hamilton,Kimi Räikkönen,Ferrari,Circuit of the Americas, Austin,Circuit of the Americas,Austin,USA,30.1328,-97.6411,0.0,10.0,Link,
"Autódromo Hermanos Rodríguez, Mexico City",28 October,2018,Daniel Ricciardo,Valtteri Bottas,Max Verstappen,Red Bull Racing-TAG Heuer,Autódromo Hermanos Rodríguez, Mexico City,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,0.0,22.0,Link,
"Autódromo José Carlos Pace, São Paulo",11 November,2018,Lewis Hamilton,Valtteri Bottas,Lewis Hamilton,Mercedes,Autódromo José Carlos Pace, São Paulo,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,0.0,39.0,Link,
"Yas Marina Circuit, Abu Dhabi",25 November,2018,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton,Mercedes,Yas Marina Circuit, Abu Dhabi,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,0.0,14.0,Link,
"Albert Park Circuit, Melbourne",17 March,2019,Lewis Hamilton,Valtteri Bottas,Valtteri Bottas,Mercedes,Albert Park Circuit, Melbourne,Albert Park Circuit,Melbourne,Australia,-37.8497,144.968,0.0,25.0,Link,
"Bahrain International Circuit, Sakhir",31 March,2019,Charles Leclerc,Charles Leclerc,Lewis Hamilton,Mercedes,Bahrain International Circuit, Sakhir,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,0.0,19.0,Link,
"Shanghai International Circuit, Shanghai",14 April,2019,Valtteri Bottas,Pierre Gasly,Lewis Hamilton,Mercedes,Shanghai International Circuit, Shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5.0,16.0,Link,
"Baku City Circuit, Baku",28 April,2019,Valtteri Bottas,Charles Leclerc,Valtteri Bottas,Mercedes,Baku City Circuit, Baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,0.0,6.0,Link,
"Circuit de Barcelona-Catalunya, Montmeló",12 May,2019,Valtteri Bottas,Lewis Hamilton,Lewis Hamilton,Mercedes,Circuit de Barcelona-Catalunya, Montmeló,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,0.0,32.0,Link,
"Circuit de Monaco, Monte Carlo",26 May,2019,Lewis Hamilton,Pierre Gasly,Lewis Hamilton,Mercedes,Circuit de Monaco, Monte Carlo,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,0.0,68.0,Link,
"Circuit Gilles Villeneuve, Montréal",9 June,2019,Sebastian Vettel,Valtteri Bottas,Lewis Hamilton,Mercedes,Circuit Gilles Villeneuve, Montréal,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,0.0,41.0,Link,
"Circuit Paul Ricard, Le Castellet",23 June,2019,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton,Mercedes,Circuit Paul Ricard, Le Castellet,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,0.0,18.0,Link,
"Red Bull Ring, Spielberg",30 June,2019,Charles Leclerc,Max Verstappen,Max Verstappen,Red Bull Racing-Honda,Red Bull Ring, Spielberg,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,0.0,11.0,Link,
"Silverstone Circuit, Silverstone",14 July,2019,Valtteri Bottas,Lewis Hamilton,Lewis Hamilton,Mercedes,Silverstone Circuit, Silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,0.0,57.0,Link,
"Hockenheimring, Hockenheim",28 July,2019,Lewis Hamilton,Max Verstappen,Max Verstappen,Red Bull Racing-Honda,Hockenheimring, Hockenheim,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,103.0,37.0,Link,
"Hungaroring, Mogyoród",4 August,2019,Max Verstappen,Max Verstappen,Lewis Hamilton,Mercedes,Hungaroring, Mogyoród,Hungaroring,Budapest,Hungary,47.5789,19.2486,0.0,37.0,Link,
"Circuit de Spa-Francorchamps, Stavelot",1 September,2019,Charles Leclerc,Sebastian Vettel,Charles Leclerc,Ferrari,Circuit de Spa-Francorchamps, Stavelot,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,0.0,55.0,Link,
"Autodromo Nazionale di Monza, Monza",8 September,2019,Charles Leclerc,Lewis Hamilton,Charles Leclerc,Ferrari,Autodromo Nazionale di Monza, Monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,0.0,72.0,Link,
"Marina Bay Street Circuit, Singapore",22 September,2019,Charles Leclerc,Kevin Magnussen,Sebastian Vettel,Ferrari,Marina Bay Street Circuit, Singapore,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,0.0,13.0,Link,
"Sochi Autodrom, Sochi",29 September,2019,Charles Leclerc,Lewis Hamilton,Lewis Hamilton,Mercedes,Sochi Autodrom, Sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,0.0,8.0,Link,
"Suzuka International Racing Course, Suzuka",13 October,2019,Sebastian Vettel,Lewis Hamilton,Valtteri Bottas,Mercedes,Suzuka International Racing Course, Suzuka,,,,,,,,,
"Autódromo Hermanos Rodríguez, Mexico City",27 October,2019,Charles Leclerc[d],Charles Leclerc,Lewis Hamilton,Mercedes,Autódromo Hermanos Rodríguez, Mexico City,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,0.0,22.0,Link,
"Circuit of the Americas, Austin, Texas",3 November,2019,Valtteri Bottas,Charles Leclerc,Valtteri Bottas,Mercedes,Circuit of the Americas, Austin,Circuit of the Americas,Austin,USA,30.1328,-97.6411,0.0,10.0,Link,
"Autódromo José Carlos Pace, São Paulo",17 November,2019,Max Verstappen,Valtteri Bottas,Max Verstappen,Red Bull Racing-Honda,Autódromo José Carlos Pace, São Paulo,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,0.0,39.0,Link,
"Yas Marina Circuit, Abu Dhabi",1 December,2019,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Yas Marina Circuit, Abu Dhabi,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,0.0,14.0,Link,
"Red Bull Ring, Spielberg",5 July,2020,Valtteri Bottas,Lando Norris,Valtteri Bottas,Mercedes,Red Bull Ring, Spielberg,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,0.0,11.0,Link,
"Red Bull Ring, Spielberg",12 July,2020,Lewis Hamilton,Carlos Sainz Jr.,Lewis Hamilton,Mercedes,Red Bull Ring, Spielberg,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,0.0,11.0,Link,
"Hungaroring, Mogyoród",19 July[g],2020,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Hungaroring, Mogyoród,Hungaroring,Budapest,Hungary,47.5789,19.2486,0.0,37.0,Link,
"Silverstone Circuit, Silverstone",2 August[h],2020,Lewis Hamilton,Max Verstappen,Lewis Hamilton,Mercedes,Silverstone Circuit, Silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,0.0,57.0,Link,
"Silverstone Circuit, Silverstone",9 August,2020,Valtteri Bottas,Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda,Silverstone Circuit, Silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,0.0,57.0,Link,
"Circuit de Barcelona-Catalunya, Montmeló",16 August[i],2020,Lewis Hamilton,Valtteri Bottas,Lewis Hamilton,Mercedes,Circuit de Barcelona-Catalunya, Montmeló,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,0.0,32.0,Link,
"Circuit de Spa-Francorchamps, Stavelot",30 August,2020,Lewis Hamilton,Daniel Ricciardo,Lewis Hamilton,Mercedes,Circuit de Spa-Francorchamps, Stavelot,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,0.0,55.0,Link,
"Autodromo Nazionale di Monza, Monza",6 September,2020,Lewis Hamilton,Lewis Hamilton,Pierre Gasly,AlphaTauri-Honda,Autodromo Nazionale di Monza, Monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,0.0,72.0,Link,
"Autodromo Internazionale del Mugello, Scarperia e San Piero",13 September,2020,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Autodromo Internazionale del Mugello, Scarperia e San Piero,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,255.0,1.0,Link,
"Sochi Autodrom, Sochi",27 September,2020,Lewis Hamilton,Valtteri Bottas,Valtteri Bottas,Mercedes,Sochi Autodrom, Sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,0.0,8.0,Link,
"Nürburgring, Nürburg",11 October,2020,Valtteri Bottas,Max Verstappen,Lewis Hamilton,Mercedes,Nürburgring, Nürburg,Nürburgring,Nürburg,Germany,50.3356,6.9475,578.0,41.0,Link,
"Autódromo Internacional do Algarve, Portimão",25 October,2020,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Autódromo Internacional do Algarve, Portimão,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,0.0,2.0,Link,
"Autodromo Internazionale Enzo e Dino Ferrari, Imola",1 November,2020,Valtteri Bottas,Lewis Hamilton,Lewis Hamilton,Mercedes,Autodromo Internazionale Enzo e Dino Ferrari, Imola,,,,,,,,,
"Istanbul Park, Tuzla",15 November,2020,Lance Stroll,Lando Norris,Lewis Hamilton,Mercedes,Istanbul Park, Tuzla,Istanbul Park,Istanbul,Turkey,40.9517,29.405,0.0,9.0,Link,
"Bahrain International Circuit, Sakhir[j]",29 November[k],2020,Lewis Hamilton,Max Verstappen,Lewis Hamilton,Mercedes,Bahrain International Circuit, Sakhir[j],Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,0.0,19.0,Link,
"Bahrain International Circuit, Sakhir[j]",6 December,2020,Valtteri Bottas,George Russell,Sergio Pérez,Racing Point-BWT Mercedes,Bahrain International Circuit, Sakhir[j],Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,0.0,19.0,Link,
