,Circuit,Map,Type,Direction,Loc,Last length used,Grands Prix,Season(s),Grands Prix held,City,Ctry
51,Long Beach Street Circuit,,Street circuit,Clockwise,"Long Beach, United States",3.275 km (2.035 mi),United States Grand Prix West,1976–1983,8.0,Long Beach, United States
52,Losail International Circuit,,Race circuit,Clockwise,"Lusail, Qatar",5.380 km (3.343 mi),Qatar Grand Prix,2021,1.0,Lusail, Qatar
53,Marina Bay Street Circuit ✔,,Street circuit,Anti-clockwise,"Marina Bay, Singapore",5.063 km (3.146 mi),Singapore Grand Prix,2008–2019,12.0,Marina Bay, Singapore
54,Melbourne Grand Prix Circuit ✔,,Street circuit,Clockwise,"Melbourne, Australia",5.303 km (3.295 mi),Australian Grand Prix,1996–2019,24.0,Melbourne, Australia
55,Miami International Autodrome ✔,,Street circuit,Anti-clockwise,"Miami Gardens, United States",5.410 km (3.362 mi),Miami Grand Prix,2022,0.0,Miami Gardens, United States
56,Montjuïc circuit,,Street circuit,Anti-clockwise,"Barcelona, Spain",3.791 km (2.356 mi),Spanish Grand Prix,"1969, 1971, 1973, 1975",4.0,Barcelona, Spain
57,Mosport International Raceway,,Race circuit,Clockwise,"Bowmanville, Canada",3.957 km (2.459 mi),Canadian Grand Prix,"1967, 1969, 1971–1974, 1976–1977",8.0,Bowmanville, Canada
58,Nürburgring,,Race circuit,Clockwise,"Nürburg, Germany",5.148 km (3.199 mi),"German Grand Prix,European Grand Prix,Luxembourg Grand Prix,Eifel Grand Prix","1951–1954, 1956–1958, 1961–1969, 1971–1976, 1984–1985, 1995–2007, 2009, 2011, 2013, 2020",41.0,Nürburg, Germany
59,Pescara Circuit,,Road circuit,Clockwise,"Pescara, Italy",25.800 km (16.031 mi),Pescara Grand Prix,1957,1.0,Pescara, Italy
60,Phoenix Street Circuit,,Street circuit,Anti-clockwise,"Phoenix, United States",3.720 km (2.312 mi),United States Grand Prix,1989–1991,3.0,Phoenix, United States
61,Prince George Circuit,,Race circuit,Clockwise,"East London, South Africa",3.920 km (2.436 mi),South African Grand Prix,"1962–1963, 1965",3.0,East London, South Africa
62,Red Bull Ring ✔,,Race circuit,Clockwise,"Spielberg, Austria",4.318 km (2.683 mi),"Austrian Grand Prix,Styrian Grand Prix","1970–1987, 1997–2003, 2014–2021[c]",35.0,Spielberg, Austria
63,Riverside International Raceway,,Race circuit,Clockwise,"Moreno Valley, United States",5.271 km (3.275 mi),United States Grand Prix,1960,1.0,Moreno Valley, United States
64,Rouen-Les-Essarts,,Road circuit,Clockwise,"Orival, France",6.542 km (4.065 mi),French Grand Prix,"1952, 1957, 1962, 1964, 1968",5.0,Orival, France
65,Scandinavian Raceway,,Race circuit,Clockwise,"Anderstorp, Sweden",4.031 km (2.505 mi),Swedish Grand Prix,1973–1978,6.0,Anderstorp, Sweden
66,Sebring Raceway,,Road circuit,Clockwise,"Sebring, United States",8.356 km (5.192 mi),United States Grand Prix,1959,1.0,Sebring, United States
67,Sepang International Circuit,,Race circuit,Clockwise,"Sepang, Malaysia",5.543 km (3.444 mi),Malaysian Grand Prix,1999–2017,19.0,Sepang, Malaysia
68,Shanghai International Circuit *,,Race circuit,Clockwise,"Jiading, China",5.451 km (3.387 mi),Chinese Grand Prix,2004–2019,16.0,Jiading, China
69,Silverstone Circuit ✔,,Race circuit,Clockwise,"Silverstone, United Kingdom",5.891 km (3.660 mi),"British Grand Prix,70th Anniversary Grand Prix","1950–1954, 1956, 1958, 1960, 1963, 1965, 1967, 1969, 1971, 1973, 1975, 1977, 1979, 1981, 1983, 1985, 1987–2021[a]",56.0,Silverstone, United Kingdom
70,Sochi Autodrom,,Race circuit,Clockwise,"Sirius, Russia",5.848 km (3.634 mi),Russian Grand Prix,2014–2021,8.0,Sirius, Russia
71,Suzuka International Racing Course ✔,,Race circuit,Part clockwise and part anti-clockwise (figure eight),"Suzuka, Japan",5.807 km (3.608 mi),Japanese Grand Prix,"1987–2006, 2009–2019",31.0,Suzuka, Japan
72,TI Circuit Aida,,Race circuit,Clockwise,"Mimasaka, Japan",3.703 km (2.301 mi),Pacific Grand Prix,1994–1995,2.0,Mimasaka, Japan
73,Valencia Street Circuit,,Street circuit,Clockwise,"Valencia, Spain",5.419 km (3.367 mi),European Grand Prix,2008–2012,5.0,Valencia, Spain
74,Watkins Glen International,,Race circuit,Clockwise,"Watkins Glen, United States",5.430 km (3.374 mi),United States Grand Prix,1961–1980,20.0,Watkins Glen, United States
75,Yas Marina Circuit ✔,,Race circuit,Anti-clockwise,"Abu Dhabi, United Arab Emirates",5.281 km (3.281 mi),Abu Dhabi Grand Prix,2009–2021,13.0,Abu Dhabi, United Arab Emirates
76,Zeltweg Airfield,,Road circuit,Clockwise,"Zeltweg, Austria",3.186 km (1.980 mi),Austrian Grand Prix,1964,1.0,Zeltweg, Austria
